,,2020,,2021,,2022,,2023,,2024,,2025,,2026,,2027,,2028,,2029,,2030,,2031,,2032,,2033,,2034,,2035,,2036,,2037,,2038,,2039,,2040,,2041,,2042,,2043,,2044,,2045,,2046,,2047,,2048,,2049,,2050,,,,,,
,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,Total,,,,,,
Stella West,,73.162,7.2%,106.26,7.2%,107.864,6.9%,109.771,6.4%,112.124,5.8%,115.516,5.6%,120.203,5.2%,125.749,4.8%,132.138,4.7%,139.413,4.4%,147.505,3.9%,158.484,3.8%,170.552,3.3%,285.142,4.6%,297.199,4.2%,312.002,4.0%,331.374,3.9%,346.192,3.7%,363.752,3.6%,386.434,3.6%,406.005,3.4%,424.869,3.4%,494.708,3.8%,515.474,3.8%,539.047,3.8%,561.723,3.8%,585.39,3.8%,610.018,3.8%,635.557,3.8%,712.08,4.1%,739.574,4.1%,,,,,
Penwortham,,97.818,9.6%,98.475,6.7%,99.229,6.4%,100.127,5.8%,111.234,5.8%,162.73,7.9%,166.833,7.2%,189.443,7.2%,242.447,8.6%,264.871,8.4%,269.776,7.2%,274.939,6.7%,284.417,5.5%,346.373,5.6%,352.044,5.0%,359.009,4.6%,368.12,4.3%,375.09,4.0%,383.352,3.8%,392.045,3.6%,401.25,3.4%,410.122,3.3%,419.455,3.3%,529.225,3.9%,540.312,3.8%,550.979,3.7%,562.11,3.7%,573.694,3.6%,585.707,3.5%,598.184,3.4%,611.117,3.4%,,,,,
Deeside,,39.547,3.9%,41.204,2.8%,43.107,2.8%,45.372,2.6%,48.164,2.5%,52.188,2.5%,57.744,2.5%,64.329,2.5%,71.908,2.5%,80.537,2.5%,93.137,2.5%,106.16,2.6%,151.478,2.9%,169.022,2.7%,308.329,4.4%,435.891,5.6%,458.869,5.3%,489.449,5.2%,516.281,5.1%,543.207,5.0%,566.424,4.8%,638.8,5.2%,662.339,5.1%,686.976,5.1%,714.94,5.1%,741.84,5.0%,769.918,5.0%,799.133,5.0%,829.431,5.0%,860.899,5.0%,893.515,4.9%,,,,,
Daines,,63.621,6.2%,64.902,4.4%,66.369,4.3%,86.118,5.0%,138.273,7.2%,156.376,7.6%,208.066,9.0%,213.146,8.1%,238.994,8.5%,245.654,7.8%,297.262,7.9%,327.311,7.9%,338.36,6.5%,501.798,8.1%,518.539,7.4%,533.987,6.8%,551.722,6.4%,574.788,6.2%,590.866,5.8%,607.785,5.6%,645.7,5.5%,662.967,5.4%,681.13,5.3%,700.143,5.2%,721.721,5.1%,742.482,5.0%,764.148,5.0%,886.692,5.5%,910.069,5.5%,934.355,5.4%,959.525,5.3%,,,,,
Th. Marsh/Stocksbridge,,98.253,9.6%,170.424,11.6%,171.998,11.0%,173.87,10.1%,176.178,9.2%,179.505,8.7%,184.102,8.0%,189.545,7.2%,195.811,6.9%,202.949,6.4%,210.885,5.6%,228.657,5.5%,240.494,4.6%,392.1,6.3%,423.931,6.0%,488.351,6.2%,507.355,5.9%,521.891,5.6%,629.019,6.2%,677.149,6.2%,696.346,5.9%,714.85,5.8%,734.313,5.7%,754.688,5.6%,777.809,5.5%,800.055,5.4%,873.272,5.7%,897.429,5.6%,922.48,5.5%,948.505,5.5%,975.473,5.4%,,,,,
Thornton/Drax/Eggborough,,80.231,7.9%,81.534,5.5%,83.026,5.3%,84.805,4.9%,86.997,4.5%,90.157,4.4%,94.524,4.1%,99.694,3.8%,105.646,3.7%,112.425,3.6%,129.965,3.5%,140.196,3.4%,263.339,5.1%,327.118,5.3%,339.055,4.8%,352.848,4.5%,372.398,4.3%,386.204,4.1%,402.568,3.9%,419.788,3.9%,438.023,3.7%,455.598,3.7%,474.084,3.7%,493.438,3.7%,515.4,3.7%,536.528,3.6%,558.58,3.6%,581.529,3.6%,605.322,3.6%,630.041,3.6%,655.657,3.6%,,,,,
Keadby,,10.743,1.1%,11.481,0.8%,12.325,0.8%,13.332,0.8%,14.573,0.8%,16.362,0.8%,18.831,0.8%,97.757,3.7%,101.125,3.6%,104.962,3.3%,109.429,2.9%,115.215,2.8%,121.58,2.3%,129.377,2.1%,135.734,1.9%,143.539,1.8%,153.753,1.8%,161.565,1.7%,170.825,1.7%,180.568,1.7%,190.886,1.6%,200.833,1.6%,211.292,1.6%,222.243,1.7%,234.672,1.7%,246.628,1.7%,259.105,1.7%,272.09,1.7%,285.554,1.7%,299.54,1.7%,314.037,1.7%,,,,,
Ratcliffe,,19.433,1.9%,20.745,1.4%,22.25,1.4%,24.041,1.4%,26.25,1.4%,29.431,1.4%,33.83,1.5%,39.037,1.5%,45.033,1.6%,101.761,3.2%,109.356,2.9%,169.66,4.1%,186.988,3.6%,200.864,3.2%,212.183,3.0%,226.077,2.9%,244.257,2.8%,258.163,2.8%,281.146,2.8%,300.39,2.8%,358.758,3.0%,376.461,3.1%,395.08,3.1%,414.572,3.1%,436.696,3.1%,457.978,3.1%,480.189,3.1%,503.303,3.1%,527.269,3.2%,552.167,3.2%,577.97,3.2%,,,,,
Feckenham,,45.731,4.5%,97.95,6.6%,100.49,6.4%,131.516,7.6%,135.245,7.0%,140.622,6.8%,148.049,6.4%,156.845,6.0%,166.97,5.9%,178.507,5.7%,233.831,6.2%,251.235,6.1%,270.366,5.2%,299.809,4.8%,418.923,5.9%,442.389,5.6%,473.097,5.5%,501.588,5.4%,529.426,5.2%,558.721,5.1%,648.745,5.5%,678.645,5.5%,810.095,6.3%,843.019,6.3%,880.384,6.2%,916.33,6.2%,953.845,6.2%,992.885,6.2%,1033.367,6.2%,1075.418,6.2%,1169,6.5%,,,,,
Walpole,,7.004,0.7%,7.928,0.5%,8.986,0.6%,10.246,0.6%,11.8,0.6%,14.038,0.7%,17.132,0.7%,20.794,0.8%,25.011,0.9%,29.815,0.9%,35.155,0.9%,52.403,1.3%,71.77,1.4%,96.732,1.6%,107.693,1.5%,117.465,1.5%,130.253,1.5%,140.034,1.5%,151.627,1.5%,163.828,1.5%,176.746,1.5%,189.199,1.5%,202.295,1.6%,216.006,1.6%,231.566,1.6%,246.536,1.7%,262.158,1.7%,278.417,1.7%,295.275,1.8%,312.786,1.8%,330.936,1.8%,,,,,
Bramford,,20.53,2.0%,21.838,1.5%,23.337,1.5%,25.122,1.5%,27.321,1.4%,30.49,1.5%,34.87,1.5%,40.056,1.5%,46.027,1.6%,52.829,1.7%,60.392,1.6%,70.654,1.7%,129.435,2.5%,190.758,3.1%,202.03,2.9%,255.766,3.3%,273.874,3.2%,304.824,3.3%,321.239,3.1%,355.614,3.3%,521.407,4.4%,539.038,4.4%,557.583,4.3%,576.997,4.3%,599.029,4.3%,620.226,4.2%,642.347,4.2%,665.367,4.2%,689.238,4.1%,714.033,4.1%,739.732,4.1%,,,,,
Pelham,,70.989,7.0%,84.159,5.7%,84.813,5.4%,85.592,5.0%,143.554,7.5%,144.938,7.1%,146.85,6.4%,149.115,5.7%,151.723,5.4%,154.693,4.9%,176.995,4.7%,181.476,4.4%,329.902,6.3%,335.939,5.4%,340.862,4.8%,380.204,4.8%,473.611,5.5%,536.66,5.8%,627.228,6.1%,663.272,6.1%,680.761,5.8%,688.461,5.6%,696.558,5.4%,705.036,5.2%,714.657,5.1%,723.914,4.9%,733.574,4.8%,743.627,4.6%,754.051,4.5%,764.879,4.4%,776.101,4.3%,,,,,
Sundon/East Claydon,,66.512,6.5%,73.066,5.0%,121.849,7.8%,123.969,7.2%,126.583,6.6%,130.353,6.3%,248.158,10.7%,304.226,11.6%,311.323,11.0%,319.411,10.1%,368.402,9.8%,383.1,9.3%,458.212,8.8%,558.144,9.0%,621.047,8.8%,708.797,9.0%,835.222,9.7%,951.188,10.2%,1000.703,9.8%,1078.442,9.9%,1111.588,9.4%,1132.548,9.2%,1154.595,9.0%,1227.675,9.1%,1253.868,8.9%,1279.067,8.7%,1305.366,8.5%,1332.734,8.3%,1461.112,8.8%,1490.591,8.6%,1521.141,8.4%,,,,,
Melksham,,40.527,4.0%,142.94,9.7%,145.818,9.3%,179.247,10.4%,183.475,9.6%,189.564,9.2%,197.979,8.6%,260.545,9.9%,272.016,9.6%,285.084,9.0%,328.014,8.7%,347.734,8.4%,544.006,10.5%,571.565,9.2%,659.22,9.3%,705.004,9.0%,772.798,9.0%,824.108,8.8%,861.646,8.4%,894.834,8.2%,949.984,8.1%,983.859,8.0%,1019.488,7.9%,1056.789,7.9%,1149.119,8.2%,1189.846,8.1%,1232.349,8.0%,1276.577,8.0%,1322.441,7.9%,1370.08,7.9%,1419.457,7.8%,,,,,
Bramley,,1.482,0.1%,2.036,0.1%,2.671,0.2%,3.427,0.2%,4.358,0.2%,5.7,0.3%,7.555,0.3%,9.751,0.4%,12.28,0.4%,15.16,0.5%,48.363,1.3%,52.708,1.3%,107.385,2.1%,133.238,2.1%,168.012,2.4%,191.871,2.4%,199.539,2.3%,205.405,2.2%,212.355,2.1%,244.671,2.3%,252.417,2.1%,259.884,2.1%,267.737,2.1%,275.958,2.1%,285.288,2.0%,294.264,2.0%,303.632,2.0%,313.379,2.0%,323.488,1.9%,333.988,1.9%,344.87,1.9%,,,,,
London,,26.41,2.6%,121.96,8.3%,123.738,7.9%,125.852,7.3%,128.457,6.7%,132.22,6.4%,137.411,5.9%,143.561,5.5%,150.637,5.3%,158.705,5.0%,173.672,4.6%,233.338,5.6%,246.711,4.7%,263.098,4.2%,278.865,4.0%,315.271,4.0%,343.939,4.0%,504.859,5.4%,562.319,5.5%,582.801,5.4%,651.889,5.5%,772.795,6.3%,794.78,6.2%,817.798,6.1%,843.922,6.0%,869.051,5.9%,895.276,5.8%,922.571,5.8%,950.87,5.7%,980.272,5.6%,1010.736,5.6%,,,,,
Kemsley,,37.321,3.7%,71.29,4.8%,72.056,4.6%,91.071,5.3%,92.196,4.8%,93.82,4.6%,96.062,4.2%,98.717,3.8%,101.773,3.6%,105.255,3.3%,155.727,4.1%,169.581,4.1%,213.355,4.1%,225.231,3.6%,345.802,4.9%,399.884,5.1%,409.155,4.8%,435.245,4.7%,586.25,5.7%,602.191,5.5%,615.356,5.2%,624.383,5.1%,633.875,4.9%,643.814,4.8%,755.093,5.4%,765.943,5.2%,777.268,5.1%,789.053,4.9%,801.273,4.8%,813.966,4.7%,827.122,4.6%,,,,,
Sellindge,,47.643,4.7%,48.378,3.3%,49.224,3.2%,50.228,2.9%,51.467,2.7%,53.253,2.6%,55.719,2.4%,58.639,2.2%,62.003,2.2%,160.733,5.1%,164.993,4.4%,170.772,4.1%,177.127,3.4%,184.911,3.0%,191.261,2.7%,248.954,3.2%,259.151,3.0%,313.552,3.4%,322.797,3.2%,332.527,3.1%,346.83,2.9%,356.76,2.9%,367.205,2.9%,378.139,2.8%,390.548,2.8%,402.486,2.7%,414.945,2.7%,427.91,2.7%,441.355,2.6%,455.32,2.6%,469.793,2.6%,,,,,
Lovedean,,9.872,1.0%,10.999,0.7%,18.592,1.2%,52.432,3.0%,54.329,2.8%,57.061,2.8%,60.839,2.6%,65.313,2.5%,70.465,2.5%,76.33,2.4%,122.053,3.2%,132.404,3.2%,151.635,2.9%,163.559,2.6%,198.28,2.8%,210.215,2.7%,232.733,2.7%,244.68,2.6%,352.839,3.5%,372.939,3.4%,438.618,3.7%,453.825,3.7%,469.821,3.6%,486.565,3.6%,505.569,3.6%,523.852,3.6%,542.933,3.5%,562.789,3.5%,583.377,3.5%,604.765,3.5%,626.932,3.5%,,,,,
S.W.Penisula,,35.112,3.4%,38.191,2.6%,41.717,2.7%,45.918,2.7%,51.093,2.7%,58.551,2.9%,68.859,3.0%,81.067,3.1%,95.12,3.4%,111.125,3.5%,198.926,5.3%,223.077,5.4%,320.126,6.2%,372.656,6.0%,402.183,5.7%,438.25,5.6%,480.863,5.6%,513.458,5.5%,572.09,5.6%,618.745,5.7%,692.798,5.9%,734.291,6.0%,777.935,6.0%,823.624,6.1%,875.477,6.2%,1075.362,7.3%,1127.424,7.3%,1181.6,7.4%,1237.776,7.4%,1296.134,7.5%,1456.613,8.1%,,,,,
,," 1,019.28 ",100%," 1,475.22 ",100%," 1,561.47 ",100%," 1,727.11 ",100%," 1,918.48 ",100%," 2,053.08 ",100%," 2,311.28 ",100%," 2,623.83 ",100%," 2,825.21 ",100%," 3,158.58 ",100%," 3,759.97 ",100%," 4,132.72 ",100%," 5,195.67 ",100%," 6,229.31 ",100%," 7,052.17 ",100%," 7,839.32 ",100%," 8,588.72 ",100%," 9,328.23 ",100%," 10,211.57 ",100%," 10,852.32 ",100%," 11,786.96 ",100%," 12,324.65 ",100%," 12,882.43 ",100%," 13,459.30 ",100%," 14,093.76 ",100%," 14,709.85 ",100%," 15,346.26 ",100%," 16,002.45 ",100%," 16,677.33 ",100%," 17,372.55 ",100%," 18,087.62 ",100%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
